"name","id"
Alsóméntelek,1816
Úrihegy,1818
Miklóstelep,1820
Tiszajenő alsó,1821
Óbög,1822
Árpádszállás,1823
Tőserdő,1824
Tiszaalpár felső,1825
Borsihalom,1826
Kismindszenti út,1827
Petőfiváros,1828
Csorna,1829
Kisfái,1830
Nyárlőrinci szőlők,1831
Nyárlőrinc alsó,1832
Tiszaug-Tiszahídfő,1834
Csongrádi úti tanyák,1836
Kettőshalom,1837
Csongrád alsó,1838
Donát,1841
Pusztatemplom,1842
Tabdi,1844
Előhát,1847
Polgárdi-Tekerespuszta,1882
Szatina-Kishajmás,1886
Márok,1887
Nagynyárád,1888
Bodolyabér,1889
Szászvár,1891
Cikó,1892
Gyöngyfa-Magyarmecske,1896
Horvátnádalja,1905
Bakonygyirót,1910
Vinye,1911
Nemesgörzsöny,1912
Rábahíd,1913
Öskü,1914
Márkó,1917
Nemeskocs,1918
Nyírlak,1921
Zalagyömörő,1922
Rigács,1923
Kemenespálfa,1924
Lentiszombathely,1926
Ortaháza,1927
Rádiháza,1928
Baktüttös,1929
Budafa,1931
Zalapatakalja,1932
Tormásliget,1933
Belecska,1937
Almár,1940
Szentkozma,1941
Ceglédi szállások,1942
Raposka,1947
Ivacs,1958
Barca,1959
Szorgalmatos,1962
Haris,1963
Fótfürdő,1965
Fenyveshegy,1966
Episcopia Bihor,1980
Salonta,1981
Curtici,1982
Valea lui Mihai,1988
Berveni,1992
Carei,1993
Eszeny,2000
Balatonfőkajár felső,2027
Piroska,2028
Somodor,2039
Középmező,2042
Jobbágyi,2052
Szalovka,2059
Kalonda z.,2087
Mikusovce z.,2089
Malé Straciny,2091
Siatorská Bukovinka z.,2096
Zsófialiget,2153
Szilasliget,2154
Alba-Iulia,2270
Alesd,2271
Oradea,2273
Baia Mare,2278
Blaj,2279
Brasov,2296
Bucuresti Nord,2309
Ciceu,2315
Cluj Napoca,2316
Constanta,2317
Craiova,2318
Csíkszereda,2320
Deda,2323
Dej-Calatori,2324
Deva,2325
Drobeta-Turnu Severin,2331
Fagaras,2340
Giurgiu Nord,2356
Gheorghieni,2362
Jibou,2380
Caransebes,2382
Copsa Mica,2389
Lugoj,2418
Tirgu Mures,2428
Medias,2431
Sibiu,2441
Neusiedl am See,2449
Orsova,2457
Simeria,2471
Ploiesti Vest,2473
Predeal,2482
Razboieni,2487
Sármásag,2497
Sighisoara,2506
Sfintu Gheorghe,2508
Sinaia,2509
Satu Mare,2520
Timisoara Nord,2524
Zalau,2558
Arad,2585
Ploiesti Süd,2586
Huedin,2587
Vatra Dornei B.,2602
Iasi,2603
Petrosani,2746
Targu Jiu,2747
Caracal,2748
Rosiori Nord,2749
Hodos Gr.,2881
Bánréve Gr.,2882
Biharkeresztes Gr.,2883
Koprivnica Gr.,2884
Hegyeshalom Gr.,2885
Cana Gr.,2886
Subotica Gr.,2887
Komárom Gr.,2888
Salonta Gr.,2889
Curtici Gr.,2890
Magyarbóly Gr.,2891
Kotoriba Gr.,2892
Nyírábrány Gr.,2893
Rajka Gr.,2894
Röszke Gr.,2895
Sátoraljaújhely Gr.,2896
Filakovo Gr.,2897
Sopron Gr.,2898
Szentgotthárd Gr.,2899
Szob Gr.,2900
Záhony Gr.,2901
Carei Gr.,2964
Ipolytarnóc Gr.,2965
Nógrádszakál Gr.,2966
Pamhagen Gr.,2967
Baile Herculane,2968
Baile Tusnad,2969
Toplita,2977
Videle,2979
Gols,2982
Mönchhof-Halbturn,2983
St. Andre am Zicksee,2987
Weiden am See,2988
Tokodi elágazás,2989
K. SZ. G. ipvk.,2991
Visontai kombinát,2993
Sóstóhegy elágazás,2994
Eger-Rendező elágazás,2995
Tihamér elágazás,2996
Szuhakálló elágazás,2997
Recsk-Kőrakodó,2998
Liszkóvölgyi IPVK.,2999
Kisterenye Vasötvözetgy. IP,3000
Putnok elágazás,3001
Center elágazás,3002
Ózd külső,3003
Sajószentpéter BVK,3004
Berente elágazás,3005
Miskolci Mészkőbánya,3006
Törökszentmiklós elágazás,3007
Záhony-Rendező,3008
Fényeslitke-á Rend Elág,3009
Fényeslitke-Déli Rendező,3010
Északi kitérő,3011
Eperjeske-Rendező,3012
Tornyospálcsa átrakó,3013
Fehérolaj átfejtő IPV,3014
Nagykálló elágazás,3015
Fehérolaj átfejtő IPVK,3016
Tiszatenyő elágazás,3017
Városföld elágazás,3018
Harkakötöny elágazás,3019
Makó elágazás,3020
Murony elágazás,3021
Nyárlőrinic elágazás,3022
Kunszentmárton elágazás,3023
Telekgerendás elág.,3024
Gyékényes-Kavicsbánya,3025
Villány elág.,3026
Mezőfalva elág.,3027
Balatonmáriafürdő elágazás,3028
Dombóvár elágazás,3029
Hirdi IPVK.,3030
Balatonszentgyögy elág.,3031
Celldömölk-Rendező,3032
Lepsény Gabonaforg. IPVK.,3033
Szombathely Rendező,3034
Hodos Sz,3035
Tuzsér (Széles),3037
Záhony elágazás (széles),3038
Záhony (széles),3039
Eperjeske Rend. elág. (sz),3040
Eperjeske-Rendező (széles),3041
Tornyospálca átrakó (széles,3042
Izsák elágazás,3043
Balotaszállás elágazás,3044
Zalaszentiván elágazás,3045
Andráshida elágazás,3046
Vinári elágazás,3047
